,city,latitude,longtitude,humidity,temperature,cloudiness,wind speed
0,Port Hedland,-20.3167,118.5667,73,73.4,7,6.91
1,Cherskiy,68.75,161.3,99,-22.41,31,2.17
2,Tieling,42.2931,123.8414,19,41.47,34,14.03
3,Columbus,39.9612,-82.9988,31,77.2,75,12.66
4,Norman Wells,65.282,-126.8329,60,3.2,75,3.44
5,Codrington,-38.2667,141.9667,93,50.86,24,5.06
6,Geraldton,-28.7667,114.6,83,68.0,43,8.05
7,Faanui,-16.4833,-151.75,61,80.76,87,12.28
8,Upernavik,72.7868,-56.1549,92,8.62,100,16.37
9,Hermanus,-34.4187,19.2345,89,60.01,45,1.01
10,Vanavara,60.34,102.2797,98,34.38,100,6.71
11,Mount Isa,-20.7333,139.5,50,75.2,12,3.44
12,Touros,-5.1989,-35.4608,69,82.4,20,12.66
13,Port Alfred,-33.5906,26.891,83,65.88,13,18.92
14,Laas,46.6166,10.7002,58,32.67,0,4.61
15,Barrow,71.2906,-156.7887,77,-5.8,1,10.36
16,Pimentel,-6.8367,-79.9342,57,76.66,0,20.71
17,Punta Arenas,-53.15,-70.9167,81,50.0,90,8.05
18,Naples,40.8333,14.25,67,54.64,40,5.75
19,Bredasdorp,-34.5322,20.0403,88,59.0,96,4.61
20,Makakilo City,21.3469,-158.0858,50,75.38,1,12.66
21,Saldanha,-33.0117,17.9442,52,64.4,4,4.61
22,Butaritari,3.0707,172.7902,75,79.81,100,2.77
23,Suntar,62.1444,117.6319,94,15.51,100,7.43
24,Thinadhoo,0.5333,72.9333,60,84.07,95,7.47
25,Yellowknife,62.456,-114.3525,73,18.9,75,14.97
26,Tiksi,71.6872,128.8694,99,-14.39,40,6.17
27,Thompson,55.7435,-97.8558,69,35.6,40,6.91
28,Klaksvík,62.2266,-6.589,64,28.4,40,23.02
29,Hong Kong,22.2855,114.1577,82,70.48,87,17.4
30,Vao,-22.6667,167.4833,65,75.52,92,15.99
31,Quatre Cocos,-20.2078,57.7625,94,77.54,40,2.3
32,Cape Town,-33.9258,18.4232,82,63.79,0,4.61
33,Rikitea,-23.1203,-134.9692,72,76.78,9,10.11
34,Bluff,-46.6,168.3333,83,55.0,100,8.99
35,Evensk,61.95,159.2333,72,15.84,100,6.24
36,Busselton,-33.65,115.3333,97,60.01,60,5.57
37,Saint George,37.1041,-113.5841,10,69.24,0,5.99
38,Albany,42.6001,-73.9662,18,63.66,5,6.29
39,Avarua,-21.2078,-159.775,69,82.4,40,14.97
40,Sorong,-0.8833,131.25,81,79.59,96,0.43
41,Tawang Town,27.5833,91.8667,75,39.9,24,4.99
42,Nizhniy Kuranakh,58.8353,125.4869,95,-11.09,62,3.38
43,Antofagasta,-23.65,-70.4,77,66.2,75,14.97
44,Ushuaia,-54.8,-68.3,62,51.8,75,10.36
45,Mataura,-46.1927,168.8643,83,55.0,100,8.99
46,Saint Paul Harbor,57.79,-152.4072,52,37.4,1,8.05
47,Oudtshoorn,-33.5907,22.2014,100,57.2,0,3.44
48,Bereda,43.2686,-7.5406,92,44.64,97,13.0
49,Lázaro Cárdenas,17.9583,-102.2,54,84.25,0,11.56
50,Eydhafushi,5.1033,73.0708,66,84.06,100,4.79
51,Atuona,-9.8,-139.0333,79,80.64,69,10.56
52,Tazovsky,67.4667,78.7,92,30.51,100,12.84
53,Kuandian,40.7286,124.7847,43,44.47,84,4.88
54,Jamestown,42.097,-79.2353,43,70.77,1,6.91
55,Los Llanos de Aridane,28.6585,-17.9182,73,62.53,20,4.61
56,Ribeira Grande,38.5167,-28.7,72,64.4,20,10.36
57,Hilo,19.7297,-155.09,83,65.5,90,5.75
58,East London,-33.0153,27.9116,82,66.25,97,16.69
59,Northam,51.0333,-4.2167,70,39.38,63,17.0
60,New Norfolk,-42.7826,147.0587,80,51.19,71,2.33
61,Hongjiang,27.11,109.9956,98,55.72,100,2.57
62,Malartic,48.1335,-78.1328,15,54.36,75,3.44
63,Dawei,14.0833,98.2,90,74.82,51,3.33
64,Qaanaaq,77.484,-69.3632,82,3.92,100,1.66
65,Saint-Philippe,-21.3585,55.7679,73,76.78,0,5.75
66,Pisco,-13.7,-76.2167,51,81.39,0,13.8
67,Berlevåg,70.8578,29.0864,74,31.33,0,20.71
68,Sitka,57.0531,-135.33,87,35.6,90,11.5
69,Suoyarvi,62.0833,32.35,81,30.76,30,13.51
70,Paamiut,61.994,-49.6678,99,32.45,100,3.89
71,Olafsvik,64.8945,-23.7142,64,27.57,60,4.07
72,Khatanga,71.9667,102.5,100,-8.36,100,6.71
73,Cabo San Lucas,22.8909,-109.9124,60,77.09,1,11.5
74,Tuktoyaktuk,69.4541,-133.0374,77,-13.0,20,10.36
75,Garden City,42.3256,-83.331,41,76.78,75,10.36
76,Gravdal,68.1214,13.5031,80,33.8,75,18.41
77,Kapaa,22.0752,-159.319,50,74.12,40,21.85
78,Talara,-4.5772,-81.2719,61,82.4,0,6.91
79,Miyako,39.6367,141.9525,77,37.6,100,3.42
80,Wajid,3.8093,43.2471,52,83.77,49,10.11
81,Zhigansk,66.7697,123.3711,99,-12.64,93,9.84
82,Puerto Cabezas,14.0351,-83.3888,89,84.2,75,6.91
83,Tasiilaq,65.6145,-37.6368,80,23.0,20,16.11
84,Carnarvon,-24.8667,113.6333,83,75.2,82,13.8
85,Superior,46.7208,-92.1041,54,53.98,1,11.5
86,Castro,-24.7911,-50.0119,84,66.15,70,4.34
87,Bratsk,56.1325,101.6142,60,35.29,100,4.47
88,Hare Bay,48.8499,-54.0148,100,41.36,90,16.11
89,San Cristobal,7.7669,-72.225,54,86.0,40,18.41
90,Ponta do Sol,32.6667,-17.1,68,57.18,18,4.0
91,Bambous Virieux,-20.3428,57.7575,94,77.47,40,2.3
92,Port Elizabeth,-33.918,25.5701,88,62.6,0,6.91
93,Salalah,17.0151,54.0924,74,80.6,0,2.3
94,Arraial do Cabo,-22.9661,-42.0278,73,77.76,20,12.66
95,Acapulco de Juárez,16.8634,-99.8901,58,87.8,20,10.36
96,Santa Vitória do Palmar,-33.5189,-53.3681,69,73.83,16,9.06
97,Longyearbyen,78.2186,15.6401,52,8.6,40,10.36
98,Hobart,-42.8794,147.3294,87,52.7,79,4.61
99,Bengkulu,-3.8004,102.2655,88,74.26,100,4.68
100,Lüderitz,-26.6481,15.1594,88,61.45,1,14.0
101,Cesena,44.1391,12.2432,87,41.11,75,2.3
102,Provideniya,64.3833,-173.3,77,4.91,2,4.47
103,Azuaga,38.2667,-5.6833,36,64.0,100,3.0
104,Monrovia,6.3005,-10.7969,83,82.4,75,4.99
105,Isangel,-19.55,169.2667,79,76.82,78,11.88
106,Yar-Sale,66.8333,70.8333,93,26.04,100,13.47
107,Pemberton,50.3164,-122.8027,53,46.4,75,5.75
108,Barcelona,41.3888,2.159,72,55.78,75,9.22
109,George Town,5.4112,100.3354,94,77.95,20,1.14
110,Oromocto,45.8351,-66.4792,81,48.2,90,6.91
111,Minbu,20.1833,94.8833,64,78.96,2,3.98
112,Taguatinga,-12.3857,-46.5711,38,91.15,36,2.46
113,Hithadhoo,-0.6,73.0833,61,83.55,98,10.8
114,Chokurdakh,70.6333,147.9167,93,-24.63,97,2.37
115,Balikpapan,-1.2675,116.8289,92,74.61,72,3.98
116,Praia,14.9215,-23.5087,41,77.0,0,23.02
117,Ketchikan,55.3422,-131.6461,93,37.4,75,17.27
118,Sangar,63.9242,127.4739,100,-22.05,53,3.83
119,Lagoa,39.05,-27.9833,84,59.94,100,11.72
120,Usuki,33.1081,131.7878,56,47.43,89,5.68
121,Butwāl,27.7006,83.4484,19,74.41,1,6.96
122,Pitsunda,43.1592,40.3378,82,52.11,100,4.47
123,Río Gallegos,-51.6226,-69.2181,67,57.2,75,18.41
124,Cidreira,-30.1811,-50.2056,78,74.86,0,12.3
125,Tripoli,32.8752,13.1875,65,61.5,0,5.75
126,Saint Anthony,45.0205,-93.218,43,69.8,1,9.22
127,Berdigestyakh,62.0989,126.6992,100,-23.26,67,3.13
128,Labuhan,-6.8844,112.2051,86,78.48,97,8.08
129,Camacha,33.0833,-16.3333,72,64.4,20,6.91
130,Puerto Ayora,-0.7393,-90.3518,78,79.61,20,11.5
131,Tual,-5.6667,132.75,70,83.79,97,5.44
132,Lebu,-37.6167,-73.65,87,58.37,100,8.88
133,Pevek,69.7008,170.3133,99,-19.91,100,6.53
134,Ancud,-41.8697,-73.8203,82,55.87,75,18.41
135,Porto Santo,33.072,-16.3415,72,64.4,20,6.91
136,Saskylakh,71.9167,114.0833,95,7.65,100,7.47
137,Yarkovo,57.4028,67.0786,94,30.33,12,7.96
138,Hambantota,6.1241,81.1185,86,78.04,12,7.14
139,Severnyy,50.677,36.5532,57,48.2,0,11.18
140,Bethel,41.3712,-73.414,26,64.26,1,9.22
141,Buraidah,26.326,43.975,19,77.0,0,9.22
142,Brae,60.3964,-1.353,80,35.6,75,23.02
143,Birjand,32.8663,59.2211,14,50.0,0,6.91
144,Cap-aux-Meules,47.3821,-61.8597,93,41.0,100,11.5
145,Innisfail,-17.5333,146.0333,92,73.42,100,4.09
146,Vaitape,-16.5167,-151.75,61,80.73,89,12.21
147,Vaini,-21.2,-175.2,83,77.0,75,6.91
148,Esperance,-33.8667,121.9,100,64.4,90,6.91
149,Venado Tuerto,-33.7456,-61.9688,59,86.72,5,15.99
150,Skjervøy,70.0311,20.9714,80,35.6,90,16.11
151,Lompoc,34.6391,-120.4579,63,58.12,89,12.66
152,Ţahţā,26.7693,31.5021,14,76.05,0,6.91
153,Kloulklubed,7.0419,134.2556,94,77.0,75,3.44
154,Distrikt Brokopondo,4.75,-55.1667,82,80.58,82,7.05
155,Aranos,-24.1333,19.1167,40,75.27,46,14.32
156,Hobyo,5.3505,48.5268,56,81.75,12,14.38
157,Umarkhed,19.6,77.7,15,86.99,2,6.53
158,Mahébourg,-20.4081,57.7,94,77.0,40,6.91
159,Iqaluit,63.7506,-68.5145,86,15.4,75,4.61
160,Torbay,47.6666,-52.7314,100,37.6,90,8.05
161,Flin Flon,54.7682,-101.865,42,46.4,90,5.75
162,Xinzhi,36.4989,111.7047,52,57.61,100,0.76
163,Kaili,-3.4626,120.2147,87,66.67,51,3.83
164,Richards Bay,-28.783,32.0377,93,69.04,56,5.68
165,San Bernardo,-33.6,-70.7167,41,78.6,0,6.91
166,Waddān,29.1614,16.139,38,68.56,0,9.42
167,Kalabo,-14.97,22.6814,51,68.16,79,5.57
168,Carauari,-4.8828,-66.8958,85,83.01,100,2.64
169,Narsaq,60.9167,-46.05,87,35.6,75,5.75
170,Raja,8.4596,25.678,14,83.79,30,3.53
171,Talnakh,69.4865,88.3972,97,27.41,100,2.75
172,Sinop Province,41.7711,34.8709,48,57.38,100,9.37
173,Katherine,-14.4667,132.2667,88,69.8,92,4.27
174,Seville,37.3824,-5.9761,49,70.29,0,5.75
175,Luanda,-8.8368,13.2343,89,80.6,20,9.22
176,Okha,53.5739,142.9478,94,26.31,100,19.37
177,Cayenne,4.9333,-52.3333,94,79.3,75,3.44
178,Balkhash,46.844,74.9804,73,43.32,37,8.21
179,Doaba,33.4244,70.7364,62,59.4,1,1.5
180,Okhotsk,59.3833,143.3,87,1.38,85,8.23
181,Roald,62.5833,6.1333,75,37.17,75,14.97
182,Thessalon,46.2501,-83.5666,81,48.2,75,8.43
183,Dikson,73.5069,80.5464,100,-6.23,91,5.79
184,Petropavlovsk-Kamchatskiy,53.0452,158.6483,73,21.2,6,8.95
185,Maniitsoq,65.4167,-52.9,80,25.88,26,6.29
186,Aklavik,68.2191,-135.0107,65,-0.4,90,2.3
187,Mocuba,-16.8392,36.9856,89,66.16,0,2.68
188,Namatanai,-3.6667,152.4333,83,79.18,100,5.48
189,Kruisfontein,-34.0033,24.7314,89,60.01,23,1.01
190,Korem,12.5058,39.5228,33,56.64,12,6.04
191,Ranau,5.9538,116.6641,94,78.55,20,3.44
192,Chui,-33.6971,-53.4616,70,73.47,14,9.1
193,Bourail,-21.5667,165.4833,79,72.57,100,4.41
194,Leningradskiy,69.3833,178.4167,93,-11.88,64,5.59
195,Hampton,37.0299,-76.3452,27,65.71,20,9.22
196,Apac,1.9756,32.5386,94,66.69,100,3.6
197,Sur,22.5667,59.5289,30,81.34,0,3.38
198,Mar del Plata,-38.0023,-57.5575,83,72.09,20,11.5
199,Airai,-8.9266,125.4092,85,59.7,74,0.81
200,Carnaíba,-8.7,-37.6667,25,88.48,100,14.0
201,Shelburne,44.0787,-80.2041,33,56.28,20,12.66
202,Belaya Gora,68.5333,146.4167,99,-16.69,100,1.54
203,Kolosovka,56.4678,73.611,92,31.41,100,13.58
204,Ivanovo,56.9942,40.9858,91,33.96,100,6.51
205,São Filipe,14.8961,-24.4956,59,76.68,0,10.33
206,Pangnirtung,66.1451,-65.7125,78,8.6,20,3.44
207,Neijiang,29.5835,105.0622,91,57.52,100,5.06
208,Yulara,-25.2406,130.9889,48,64.4,2,6.91
209,Kaitangata,-46.2817,169.8464,83,55.0,100,3.0
210,Jutaí,-5.1833,-68.9,62,86.92,88,1.68
211,Douglas,41.3,-96.167,56,71.65,75,21.85
212,Kavieng,-2.5744,150.7967,83,79.5,100,11.59
213,Awjilah,29.1081,21.2869,52,66.4,98,15.88
214,Imbituba,-28.24,-48.6703,83,73.4,75,12.66
215,Barranca,-10.75,-77.7667,73,73.54,98,10.42
216,Chernyshevskiy,63.0128,112.4714,95,25.84,100,5.19
217,Fortuna,40.5982,-124.1573,82,55.44,20,13.8
218,Saint-Leu,-21.15,55.2833,73,76.66,0,5.75
219,Grindavik,63.8424,-22.4338,59,26.6,0,5.75
220,Pelym,61.0108,61.9978,94,30.51,80,2.15
221,Nador,35.174,-2.9287,77,60.98,0,5.75
222,Kharian,32.8149,73.8636,88,64.4,40,10.67
223,Agirish,61.9247,63.0231,96,26.64,8,3.42
224,San Clemente,33.427,-117.612,72,65.05,100,1.99
225,Ostrovnoy,68.0531,39.5131,86,31.33,100,16.53
226,Salekhard,66.53,66.6019,93,5.25,10,3.56
227,Herat Province,34.5,62.0,23,58.23,0,6.42
228,Mizdah,31.4451,12.9801,42,62.24,0,6.93
229,Clyde River,70.4692,-68.5914,67,12.2,40,23.02
230,Maturin,9.75,-63.1767,50,87.93,83,9.86
231,São João da Barra,-21.6403,-41.0511,61,80.6,75,6.91
232,Sioux Lookout,50.1001,-91.917,40,50.0,20,8.05
233,Nouadhibou,20.931,-17.0347,77,66.2,0,16.11
234,Mandera,3.9366,41.867,53,87.06,21,4.92
